Species,Ecoregion,Networks,CMI,GPP,LED,LCC,R2,RMSE
OSFL,72,"710 (500,210)",0.706 (19.69),0.989 (14.17),0.059 (0.91),-0.119 (-1.1),0.923,0.063
OSFL,74,"673 (500,173)",0.017 (0.32),0.06 (0.65),0.416 (6.01),0.081 (0.77),0.201,0.109
OSFL,78,"865 (500,365)",0.24 (6.2),0.327 (5.43),-0.169 (-2.79),0.024 (0.54),0.2,0.097
OSFL,80,"488 (69,419)",0.235 (4.94),-0.012 (-0.18),-0.092 (-1.44),0.034 (0.37),0.061,0.109
OSFL,87,"157 (121,36)",-0.173 (-2.2),1.301 (11.82),-0.876 (-5.41),0.784 (4.25),0.571,0.055
OSFL,88,"529 (500,29)",0.207 (3.57),0.511 (7.54),0.265 (3.2),0.32 (3.2),0.53,0.071
OSFL,89,"528 (500,28)",0.152 (3.06),0.811 (18.42),-0.003 (-0.04),0.336 (4.39),0.666,0.056
OSFL,90,"601 (500,101)",0.852 (21.05),0.891 (10.2),0.247 (3.63),-1.293 (-11.55),0.687,0.074
OSFL,94,"751 (251,500)",0.149 (3.16),-0.211 (-3),-0.296 (-6.74),0.673 (5.6),0.126,0.087
OSFL,95,"609 (500,109)",-0.131 (-2.63),0.942 (14.78),-0.099 (-1.42),0.071 (0.7),0.547,0.074
OSFL,100,"1000 (500,500)",0.097 (4.65),0.749 (22.12),0.39 (19.88),-0.793 (-15.12),0.739,0.045
OSFL,103,"578 (500,78)",0.306 (6.62),0.523 (6.73),-0.103 (-1.22),0.043 (0.42),0.419,0.09
OSFL,108,"526 (26,500)",0.268 (7.08),0.06 (0.78),0.012 (0.17),0.421 (3.38),0.175,0.125
OSFL,136,"80 (31,49)",0.343 (1.58),-0.038 (-0.15),0.209 (0.87),0.065 (0.11),0.361,0.106
OSFL,165,"374 (151,223)",0.14 (3.46),0.056 (0.9),0.552 (10.18),0.35 (7.4),0.952,0.033
OSFL,168,"518 (500,18)",0.898 (8.53),-0.782 (-5.41),-0.649 (-5.6),0.173 (1.38),0.124,0.093
OSFL,170,"933 (500,433)",0.246 (3.56),-0.264 (-2.28),0.09 (1.07),0.043 (0.5),0.039,0.139
OSFL,171,"450 (130,320)",0.358 (3.21),-0.361 (-2.72),0.162 (1.62),0.108 (0.75),0.138,0.095
OSFL,172,"526 (500,26)",-0.062 (-0.86),0.027 (0.35),-0.017 (-0.24),0.256 (2.55),0.014,0.072
OSFL,175,"581 (500,81)",1.056 (17.96),-0.437 (-7.16),-0.194 (-2.76),0.123 (1.33),0.385,0.073
OSFL,176,"253 (100,153)",0.339 (7.56),0.314 (3.01),-0.155 (-2.48),0.01 (0.07),0.626,0.062
OSFL,177,"98 (37,61)",0.052 (0.59),0.668 (3.17),0.213 (2.07),-0.6 (-2.71),0.481,0.074
OSFL,178,"518 (166,352)",0.085 (1.1),-0.07 (-0.57),0.035 (0.48),0.167 (1.34),0.027,0.125
OSFL,179,"627 (500,127)",-0.014 (-0.2),0.105 (1.45),0.009 (0.12),0.208 (2.4),0.076,0.083
OSFL,180,"920 (500,420)",0.008 (0.2),-0.326 (-5.47),0.094 (1.65),0.534 (5.58),0.052,0.115
OSFL,181,"567 (67,500)",-0.529 (-7.11),0.223 (3.63),0.505 (7.96),0.679 (4.27),0.312,0.089
OSFL,183,"54 (31,23)",-0.055 (-0.38),0.719 (5.5),-0.159 (-0.85),-0.158 (-0.57),0.624,0.053
OSFL,199,"512 (12,500)",0.321 (6.23),0.386 (2.93),0.497 (3.86),-0.273 (-1.85),0.253,0.152
OSFL,200,"363 (330,33)",-0.032 (-0.7),-0.281 (-3.95),-0.064 (-0.76),0.238 (2.58),0.092,0.042
OSFL,207,"414 (309,105)",-0.103 (-1.17),0.171 (1.54),-0.356 (-3.98),0.113 (0.94),0.037,0.085
OSFL,215,"765 (265,500)",0.729 (22.96),-0.119 (-2.11),0.126 (3.14),-0.126 (-1.88),0.602,0.116
OSFL,216,"1000 (500,500)",0.199 (5.93),-0.277 (-6.06),-0.063 (-1.01),0.308 (3.59),0.065,0.113
OSFL,217,"734 (500,234)",0.18 (4.64),0.522 (8.12),0.172 (2.7),-0.111 (-1.23),0.412,0.099
PIGR,51,"241 (49,192)",0.406 (4.08),-0.011 (-0.06),-1.295 (-7.68),0.475 (3.19),0.573,0.036
