Species,Ecoregion,Networks,CMI,GPP,LED,LCC,R2,RMSE
SWTH,94,"751 (251,500)",0.062 (1.34),-0.181 (-2.61),-0.252 (-5.92),0.538 (4.52),0.062,0.087
SWTH,95,"609 (500,109)",0.153 (3.18),0.073 (1.16),-0.22 (-3.35),0.695 (7.24),0.408,0.073
SWTH,100,"1000 (500,500)",-0.289 (-6.89),0.94 (14.17),0.66 (16.51),-0.258 (-2.42),0.634,0.089
SWTH,103,"578 (500,78)",0.607 (17.46),0.189 (3.04),-0.041 (-0.63),0.228 (2.9),0.698,0.068
SWTH,104,"39 (26,13)",-0.58 (-2.1),1.419 (3.94),1.723 (3.38),0.37 (0.39),0.867,0.086
SWTH,105,"805 (500,305)",-0.097 (-1.69),0.522 (8.76),0.137 (1.51),0.185 (2.06),0.4,0.115
SWTH,108,"526 (26,500)",0.941 (50.27),0.023 (0.63),0.067 (1.83),-0.277 (-4.35),0.863,0.061
SWTH,136,"80 (31,49)",-0.046 (-0.24),0.182 (0.84),-0.158 (-0.75),0.683 (1.33),0.312,0.094
SWTH,165,"374 (151,223)",0.885 (11.07),-0.314 (-2.56),-0.712 (-6.66),1.219 (13.05),0.698,0.066
SWTH,166,"181 (21,160)",-0.104 (-1.93),-0.422 (-3.09),0.164 (1.29),0.739 (4.01),0.072,0.069
SWTH,168,"518 (500,18)",-0.275 (-4.33),0.225 (2.71),0.335 (4.76),0.55 (7.25),0.268,0.055
SWTH,170,"933 (500,433)",0.326 (10),0.33 (6.07),-0.025 (-0.63),0.426 (10.61),0.865,0.065
SWTH,171,"450 (130,320)",0.932 (7.96),-0.697 (-5.01),-0.268 (-2.55),1.072 (7.12),0.673,0.1
SWTH,172,"526 (500,26)",-0.147 (-2.6),0.079 (1.32),0.114 (1.95),0.543 (6.29),0.153,0.06
SWTH,175,"581 (500,81)",0.472 (10.01),-0.362 (-7.04),0.045 (0.76),0.188 (2.44),0.185,0.059
SWTH,176,"253 (100,153)",0.877 (15.07),-0.291 (-2.16),0.21 (2.58),0.354 (1.83),0.827,0.081
SWTH,177,"98 (37,61)",0.186 (2.14),0.543 (2.63),0.235 (2.33),-0.01 (-0.04),0.767,0.073
SWTH,178,"518 (166,352)",-0.009 (-0.15),-0.025 (-0.25),-0.07 (-1.18),0.693 (6.88),0.241,0.102
SWTH,179,"627 (500,127)",0.622 (11.26),0.192 (3.16),0.074 (1.08),-0.133 (-1.96),0.532,0.067
SWTH,180,"920 (500,420)",0.592 (15.37),-0.198 (-3.48),0.107 (1.94),-0.096 (-1.04),0.36,0.11
SWTH,181,"567 (67,500)",0.732 (12.03),-0.416 (-8.19),-0.044 (-0.87),1.336 (10.57),0.713,0.073
SWTH,183,"54 (31,23)",0.752 (6.74),0.135 (1.32),-0.177 (-1.2),0.308 (1.42),0.93,0.042
SWTH,199,"512 (12,500)",-0.001 (-0.04),0.783 (10.18),0.338 (4.6),0.336 (3.73),0.573,0.087
SWTH,200,"363 (330,33)",-1.08 (-11.64),0.074 (0.53),0.129 (0.74),1.152 (6.3),0.322,0.084
SWTH,207,"414 (309,105)",0.767 (6.39),-0.67 (-4.46),-0.095 (-0.78),0.123 (0.75),0.096,0.115
SWTH,215,"765 (265,500)",0.624 (18.91),-0.03 (-0.51),0.145 (3.51),0.044 (0.67),0.593,0.118
SWTH,216,"1000 (500,500)",0.301 (9.87),-0.211 (-5.17),-0.069 (-1.26),0.296 (3.71),0.154,0.103
