ecoregion,species,cmi_tstat,gpp_tstat,led_tstat,lcc_tstat,cmi,gpp,led,lcc
170,cavitynesters,4.54,0.17,2.27,9.26,0,0,0,1
171,cavitynesters,3.22,13.74,3.01,17.26,0,0,0,1
172,cavitynesters,1.31,3.24,7.71,1.16,0,0,1,0
175,cavitynesters,0.41,0.08,10.23,0.62,0,0,1,0
176,cavitynesters,8.07,4.16,4.8,3.36,1,0,0,0
177,cavitynesters,2.04,1.49,7.85,0.41,0,0,1,0
178,cavitynesters,4.34,6.29,6.26,0.54,0,1,0,0
179,cavitynesters,1.22,4.9,3.68,7.96,0,0,0,1
180,cavitynesters,5.23,4.33,5.19,3.92,1,0,0,0
181,cavitynesters,6.34,7.69,23.28,6.82,0,0,1,0
183,cavitynesters,4.31,1.45,1.62,1.64,1,0,0,0
199,cavitynesters,1.51,1.71,0.28,0.89,0,1,0,0
200,cavitynesters,2.29,3.59,0.2,5.59,0,0,0,1
207,cavitynesters,2.35,3.18,0.28,3.27,0,0,0,1
215,cavitynesters,0.24,5.09,0.04,1.1,0,1,0,0
216,cavitynesters,2.39,2.8,15.54,0.64,0,0,1,0
217,cavitynesters,3.44,2.31,6.23,0.54,0,0,1,0
51,groundnesters,1.67,0.98,1.43,4.37,0,0,0,1
52,groundnesters,2.49,2.56,5.76,1.24,0,0,1,0
53,groundnesters,12.5,2.46,38.83,3.65,0,0,1,0
55,groundnesters,1.39,9.56,1.21,5.41,0,1,0,0
59,groundnesters,0.41,1.81,3.51,2.01,0,0,1,0
60,groundnesters,3.08,10.56,3.89,1.88,0,1,0,0
62,groundnesters,4.31,1.46,1.21,2.34,1,0,0,0
68,groundnesters,0.01,2.81,5.1,0,0,0,1,0
69,groundnesters,26.76,4.66,3.21,6.73,1,0,0,0
70,groundnesters,0.84,3.72,1.72,9.64,0,0,0,1
71,groundnesters,1.69,5.03,0.63,0.35,0,1,0,0
72,groundnesters,1.53,22.41,8.05,8.96,0,1,0,0
74,groundnesters,9.37,12.61,5.29,4.9,0,1,0,0
77,groundnesters,8.78,5.82,4.71,3.41,1,0,0,0
78,groundnesters,14.34,2.29,1.57,1.69,1,0,0,0
80,groundnesters,3.32,10.44,1.51,6.53,0,1,0,0
87,groundnesters,0.92,6.27,2.57,0.39,0,1,0,0
88,groundnesters,0.41,1.78,3.37,7.24,0,0,0,1
89,groundnesters,3.24,7.64,1.13,2.59,0,1,0,0
90,groundnesters,12.48,0.2,2.81,1.53,1,0,0,0
94,groundnesters,6.43,5.24,0.45,5.56,1,0,0,0
95,groundnesters,3.17,19.25,5.52,1.96,0,1,0,0
100,groundnesters,3.76,5.4,17.27,7.77,0,0,1,0
103,groundnesters,2.16,6.61,1.53,0.76,0,1,0,0
104,groundnesters,2.58,5.36,1.93,2.18,0,1,0,0
105,groundnesters,1.5,10.46,5.7,5.2,0,1,0,0
108,groundnesters,3.96,6.43,2.37,3.6,0,1,0,0
136,groundnesters,1.4,4.59,1.22,0.93,0,1,0,0
165,groundnesters,2.52,0.98,10.47,7.99,0,0,1,0
166,groundnesters,0.8,0.54,11.83,1,0,0,1,0
168,groundnesters,2,1.71,5.37,1.68,0,0,1,0
170,groundnesters,4.88,1.95,6.18,2.44,0,0,1,0
171,groundnesters,0.49,3.1,1.61,2.49,0,1,0,0
172,groundnesters,4.84,2.83,7.73,0.92,0,0,1,0
175,groundnesters,6.74,0.54,6.79,2.83,0,0,1,0
176,groundnesters,11.39,2.01,6.55,0.83,1,0,0,0
177,groundnesters,4.37,2.29,2,2.57,1,0,0,0
178,groundnesters,4.82,0.92,1.72,5.26,0,0,0,1
179,groundnesters,0.5,0.96,3.26,10.8,0,0,0,1
180,groundnesters,1.62,0,1.39,2.78,0,0,0,1
181,groundnesters,0.56,9.67,13.37,6.29,0,0,1,0
183,groundnesters,0.92,1.42,3.37,2.34,0,0,1,0
199,groundnesters,9.93,4.88,3.73,0.96,1,0,0,0
200,groundnesters,9.9,4.1,0.22,7.68,1,0,0,0
207,groundnesters,2.32,2.27,3.24,1.44,0,0,1,0
215,groundnesters,0.28,2.07,1.13,2.78,0,0,0,1
216,groundnesters,1.74,17.78,0.55,3.17,0,1,0,0
217,groundnesters,1.6,15.57,2.96,8.07,0,1,0,0
51,overwaternesters,3.44,4.74,0.63,4.65,0,1,0,0
52,overwaternesters,0.18,1.24,3.33,0.61,0,0,1,0
53,overwaternesters,0.12,15.28,44.17,17.2,0,0,1,0
55,overwaternesters,2.31,7.44,1.11,4.24,0,1,0,0
59,overwaternesters,0.77,1.01,1.33,0.92,0,0,1,0
60,overwaternesters,0.48,20.95,3.59,2.99,0,1,0,0
62,overwaternesters,3.7,3.32,1.36,1.09,1,0,0,0
68,overwaternesters,1.22,2.45,2.9,7.77,0,0,0,1
69,overwaternesters,45.74,2.87,9.75,3.95,1,0,0,0
70,overwaternesters,6.51,0.79,0.23,0.42,1,0,0,0
71,overwaternesters,1.36,3.76,2.24,1.16,0,1,0,0
72,overwaternesters,21.27,5.37,10.86,2.23,1,0,0,0
74,overwaternesters,19.97,1.79,1.26,3.61,1,0,0,0
77,overwaternesters,2.65,1,1.87,2.61,1,0,0,0
78,overwaternesters,1.12,1.7,2.11,2.07,0,0,1,0
80,overwaternesters,3.48,7.2,3.69,4.09,0,1,0,0
87,overwaternesters,1.26,0.05,0.4,3.58,0,0,0,1
88,overwaternesters,2,1.31,0.13,0.73,1,0,0,0
89,overwaternesters,0.86,10.26,3.99,5.67,0,1,0,0
90,overwaternesters,9.01,0.45,8.79,0.51,1,0,0,0
94,overwaternesters,12.33,19.06,3.59,6,0,1,0,0
95,overwaternesters,2.89,15.29,4.34,4.45,0,1,0,0
100,overwaternesters,5.06,2.76,8.3,3.18,0,0,1,0
103,overwaternesters,2.24,4.45,0.56,3.98,0,1,0,0
104,overwaternesters,0.58,3.65,2.82,1.39,0,1,0,0
105,overwaternesters,6.98,12.01,1.37,5.37,0,1,0,0
