zone,species,area,data,pct,min,mean,median,p80,p90,p95,max
84,swth,792,792,100,0.1325,0.1644,0.1647,0.1736,0.1779,0.1815,0.1988
84,wwcr,792,792,100,0.2519,0.4866,0.4737,0.5572,0.6189,0.6744,1.2105
85,blbw,1328,0,0,0,0,0,0,0,0,0
85,boch,1328,1328,100,0.446,0.7604,0.7473,0.8961,0.9738,1.0358,1.3111
85,brcr,1328,0,0,0,0,0,0,0,0,0
85,btnw,1328,0,0,0,0,0,0,0,0,0
85,cawa,1328,0,0,0,0,0,0,0,0,0
85,cmwa,1328,0,0,0,0,0,0,0,0,0
85,osfl,1328,0,0,0,0,0,0,0,0,0
85,pigr,1328,1328,100,0.6277,0.7839,0.7643,0.8681,0.9307,0.9793,1.1586
85,rubl,1328,1328,100,0.3576,0.7168,0.7139,0.8431,0.8971,0.9638,1.7237
