zone,species,area,data,pct,min,mean,median,p80,p90,p95,max
71,cmwa,49280,49280,100,0.005,0.0099,0.0099,0.0117,0.0125,0.0135,0.0267
71,osfl,49280,49280,100,0.003,0.0047,0.0043,0.0057,0.0066,0.0074,0.0097
71,pigr,49280,49280,100,0.0074,0.015,0.0147,0.0165,0.0178,0.0191,0.0294
71,rubl,49280,49280,100,0.0039,0.0201,0.0163,0.0305,0.0366,0.0393,0.0722
71,swth,49280,49280,100,0.0682,0.1464,0.1412,0.1689,0.1891,0.2181,0.3048
71,wwcr,49280,49280,100,0.0388,0.0915,0.0883,0.1088,0.1228,0.1347,0.3782
72,blbw,31064,30868,99,0.0044,0.0065,0.0065,0.0071,0.0074,0.0076,0.0083
72,boch,31064,30868,99,0.0457,0.1219,0.1179,0.1453,0.1611,0.1845,0.253
72,brcr,31064,30868,99,0.02,0.0248,0.0241,0.0268,0.0286,0.0298,0.0342
72,btnw,31064,30868,99,0.0042,0.0067,0.0065,0.0078,0.0087,0.0095,0.0214
72,cawa,31064,30868,99,0.0033,0.004,0.004,0.0042,0.0042,0.0043,0.0047
72,cmwa,31064,30868,99,0.0084,0.013,0.013,0.0136,0.014,0.0142,0.0157
72,osfl,31064,30868,99,0.0053,0.0077,0.0074,0.0085,0.0094,0.0105,0.024
72,pigr,31064,30868,99,0.0075,0.0212,0.0203,0.0244,0.0279,0.0318,0.0666
72,rubl,31064,30868,99,0.007,0.0498,0.0524,0.0621,0.067,0.0714,0.134
72,swth,31064,30868,99,0.0821,0.1463,0.1477,0.1842,0.2061,0.2202,0.2494
72,wwcr,31064,30868,99,0.0875,0.1627,0.1616,0.2047,0.2197,0.23,0.3939
73,blbw,20712,20208,98,0.0042,0.0062,0.0064,0.0071,0.0073,0.0075,0.0085
73,boch,20712,20208,98,0.0433,0.0733,0.0702,0.0859,0.0967,0.1044,0.1224
73,brcr,20712,20208,98,0.0157,0.0201,0.0215,0.0231,0.0233,0.0236,0.0241
