ecozone,ecoprovince,ecoregion,spp,eco_cells,spp_cells,min,mean,median,p80,p90,p95,max,std_dev
4,4.2,52,nowa,6776,4989,0.0045,0.024,0.0201,0.0317,0.0465,0.0562,0.1194,0.0142
4,4.2,52,ocwa,6776,4989,0.0361,0.0675,0.0561,0.0934,0.1056,0.1184,0.1687,0.0283
4,4.2,52,osfl,6776,4989,0.0026,0.0046,0.0046,0.0054,0.0057,0.0058,0.0068,8e-4
4,4.2,52,oven,6776,4989,0.0049,0.0064,0.0064,0.0066,0.0068,0.007,0.0091,4e-4
4,4.2,52,pawa,6776,4989,0.0048,0.0165,0.0122,0.0204,0.0285,0.0411,0.1117,0.0142
4,4.2,52,phvi,6776,4989,0.0032,0.0051,0.005,0.0051,0.0053,0.006,0.0125,5e-4
4,4.2,52,pigr,6776,4989,0.0045,0.0116,0.0109,0.0135,0.0142,0.0156,0.2233,0.0096
4,4.2,52,pisi,6776,4989,0.0197,0.0289,0.029,0.0339,0.0358,0.0365,0.0397,0.0049
4,4.2,52,pufi,6776,4989,0.0053,0.006,0.006,0.0064,0.0065,0.0066,0.0094,4e-4
4,4.2,52,rbgr,6776,4989,7e-4,0.0025,0.0026,0.0027,0.0028,0.0028,0.0031,4e-4
4,4.2,52,rbnu,6776,4989,0.0073,0.0086,0.0085,0.0093,0.0099,0.0103,0.0119,9e-4
4,4.2,52,rcki,6776,4989,0.0191,0.0463,0.0339,0.0584,0.0908,0.1242,0.1827,0.0337
4,4.2,52,revi,6776,4989,0.0112,0.0119,0.0119,0.0121,0.0122,0.0124,0.0141,3e-4
4,4.2,52,rubl,6776,4989,0.0028,0.0137,0.0136,0.0191,0.0231,0.0292,0.0891,0.0088
4,4.2,52,rwbl,6776,4989,0.0131,0.0144,0.0143,0.0153,0.0156,0.0158,0.0225,0.001
4,4.2,52,savs,6776,4989,0.0299,0.1159,0.0814,0.1414,0.2619,0.2915,0.36870000000000003,0.0737
4,4.2,52,sosp,6776,4989,0.0116,0.0131,0.0134,0.0136,0.014,0.0143,0.0172,9e-4
4,4.2,52,swsp,6776,4989,0.002,0.0121,0.0131,0.0151,0.0164,0.0198,0.0468,0.0054
4,4.2,52,swth,6776,4989,0.047,0.1123,0.0973,0.1591,0.1906,0.227,0.254,0.0546
4,4.2,52,tewa,6776,4989,0.0089,0.0198,0.0136,0.0327,0.0387,0.0433,0.1176,0.0133
4,4.2,52,tres,6776,4989,0.0211,0.0286,0.0283,0.0289,0.0301,0.0316,0.096,0.0041
4,4.2,52,vath,6776,4989,0.0143,0.0162,0.0162,0.0167,0.0171,0.0174,0.0219,9e-4
4,4.2,52,vesp,6776,4989,0.003,0.0043,0.0044,0.0045,0.0045,0.0045,0.0047,3e-4
4,4.2,52,wavi,6776,4989,0.0098,0.0139,0.014,0.0158,0.0166,0.0169,0.0207,0.0019
4,4.2,52,wcsp,6776,4989,0.1135,0.3886,0.3396,0.5442,0.6264,0.7263,1.0007,0.1655
4,4.2,52,weta,6776,4989,0.0018,0.0059,0.0045,0.0099,0.0104,0.0108,0.0121,0.0036
4,4.2,52,wewp,6776,4989,8e-4,0.0057,0.0059,0.0096,0.01,0.0101,0.0108,0.0035
4,4.2,52,wiwa,6776,4989,0.0131,0.0414,0.0432,0.0508,0.0541,0.0625,0.1657,0.0147
4,4.2,52,wiwr,6776,4989,0.0027,0.0036,0.0035,0.0039,0.0042,0.0044,0.0065,5e-4
4,4.2,52,wtsp,6776,4989,0.0214,0.0338,0.0273,0.0399,0.0574,0.0648,0.0867,0.0134
4,4.2,52,wwcr,6776,4989,0.0616,0.0839,0.083,0.0917,0.096,0.1011,0.2245,0.0121
4,4.2,52,ybfl,6776,4989,0.0046,0.0066,0.0062,0.007,0.0081,0.0087,0.0239,0.0013
4,4.2,52,yrwa,6776,4989,0.0449,0.1446,0.1322,0.194,0.215,0.2561,0.3396,0.0564
4,4.2,52,ywar,6776,4989,0.012,0.1059,0.0909,0.1526,0.1973,0.2514,0.6217,0.0736
4,4.2,53,alfl,1897,1897,0.0457,0.1254,0.125,0.1584,0.1838,0.1957,0.2703,0.04
4,4.2,53,amcr,1897,1897,0.0027,0.0031,0.0031,0.0032,0.0033,0.0035,0.0045,2e-4
4,4.2,53,amgo,1897,1897,0.0142,0.0147,0.0147,0.0147,0.0148,0.0148,0.0161,1e-4
4,4.2,53,ampi,1897,1897,6e-4,0.0016,0.0014,0.0026,0.003,0.0033,0.0039,9e-4
4,4.2,53,amre,1897,1897,0.0148,0.0209,0.0209,0.0225,0.0233,0.0236,0.0251,0.0018
4,4.2,53,amro,1897,1897,0.1368,0.1452,0.1465,0.1496,0.1504,0.151,0.1525,0.0045
4,4.2,53,atsp,1897,1897,8e-4,0.1016,0.086,0.1678,0.2117,0.2365,0.2734,0.071
4,4.2,53,baww,1897,1897,0.0059,0.0071,0.0067,0.0077,0.0084,0.0091,0.0128,9e-4
4,4.2,53,bbwa,1897,1897,0.0019,0.0032,0.0032,0.0034,0.0035,0.0037,0.005,3e-4
4,4.2,53,bcch,1897,1897,0.0208,0.0213,0.0213,0.0213,0.0214,0.0214,0.0217,1e-4
4,4.2,53,bhco,1897,1897,0.0333,0.0345,0.0346,0.0351,0.0355,0.0355,0.038,7e-4
4,4.2,53,bhvi,1897,1897,0.0038,0.005,0.0049,0.0054,0.0057,0.0061,0.0076,5e-4
4,4.2,53,blbw,1897,1897,0.0013,0.0024,0.0025,0.0025,0.0026,0.0026,0.0027,2e-4
4,4.2,53,blja,1897,1897,0.0021,0.0022,0.0022,0.0022,0.0022,0.0022,0.0023,0
4,4.2,53,blpw,1897,1897,0.0292,0.1686,0.1389,0.2199,0.2799,0.3669,0.7365,0.0995
4,4.2,53,boch,1897,1897,0.0396,0.0469,0.0467,0.048,0.049,0.0501,0.0711,0.0024
4,4.2,53,brbl,1897,1897,0.0034,0.0054,0.0054,0.0069,0.007,0.0071,0.0079,0.0012
4,4.2,53,brcr,1897,1897,0.0119,0.0126,0.0126,0.0127,0.0127,0.0128,0.0132,2e-4
4,4.2,53,btnw,1897,1897,0.0022,0.003,0.0028,0.0032,0.0037,0.0037,0.0039,3e-4
4,4.2,53,cawa,1897,1897,0.0019,0.0022,0.0022,0.0024,0.0024,0.0024,0.0028,1e-4
4,4.2,53,ccsp,1897,1897,0.0039,0.01,0.0118,0.012,0.0127,0.0127,0.0134,0.003
4,4.2,53,cedw,1897,1897,0.0398,0.0427,0.0428,0.043,0.0431,0.0432,0.0439,4e-4
4,4.2,53,chsp,1897,1897,0.0644,0.1782,0.1686,0.2286,0.2892,0.3701,0.5059,0.0844
4,4.2,53,cmwa,1897,1897,0.0032,0.0054,0.005,0.0059,0.0064,0.0072,0.0139,9e-4
4,4.2,53,cogr,1897,1897,0.0214,0.0215,0.0215,0.0216,0.0217,0.0221,0.0238,3e-4
4,4.2,53,conw,1897,1897,4e-4,6e-4,5e-4,8e-4,8e-4,8e-4,8e-4,2e-4
4,4.2,53,cora,1897,1897,0.0132,0.0146,0.0141,0.0149,0.0158,0.0182,0.0276,0.0014
4,4.2,53,core,1897,1897,0.0793,0.5864,0.4382,0.7286,0.8343,2.129,3.3062,0.5406
4,4.2,53,coye,1897,1897,0.0148,0.0172,0.0173,0.0175,0.0176,0.0177,0.0188,4e-4
