bcr,rep,species,dissim,ks_cmi,ks_gpp,ks_led,bc_lcc
BCR4,0,deciduousbirds,0.404,0.296,0.256,0.387,0.237
BCR4,0,deciduousbirds,0.427,0.208,0.288,0.356,0.375
BCR4,0,deciduousbirds,0.43,0.296,0.255,0.371,0.256
BCR4,0,deciduousbirds,0.398,0.232,0.298,0.331,0.365
BCR4,0,deciduousbirds,0.443,0.296,0.276,0.372,0.283
BCR4,0,deciduousbirds,0.339,0.26,0.227,0.291,0.214
BCR4,0,deciduousbirds,0.403,0.226,0.293,0.348,0.372
BCR4,0,deciduousbirds,0.441,0.223,0.292,0.339,0.378
BCR4,0,deciduousbirds,0.484,0.371,0.275,0.402,0.302
BCR4,0,deciduousbirds,0.422,0.22,0.279,0.371,0.384
BCR4,0,deciduousbirds,0.451,0.338,0.258,0.42,0.304
BCR4,0,deciduousbirds,0.348,0.259,0.247,0.315,0.228
BCR4,0,deciduousbirds,0.331,0.26,0.227,0.293,0.213
BCR4,0,deciduousbirds,0.434,0.337,0.25,0.377,0.245
BCR4,0,deciduousbirds,0.401,0.208,0.284,0.375,0.395
BCR4,0,deciduousbirds,0.491,0.247,0.287,0.411,0.431
BCR4,0,deciduousbirds,0.458,0.215,0.271,0.43,0.432
BCR4,0,deciduousbirds,0.442,0.22,0.286,0.386,0.402
BCR4,0,deciduousbirds,0.486,0.37,0.247,0.451,0.313
BCR4,0,deciduousbirds,0.463,0.209,0.275,0.409,0.424
BCR4,0,deciduousbirds,0.514,0.265,0.279,0.426,0.439
BCR4,0,deciduousbirds,0.482,0.214,0.273,0.417,0.443
BCR4,0,deciduousbirds,0.467,0.222,0.276,0.373,0.414
BCR4,0,deciduousbirds,0.511,0.366,0.249,0.437,0.333
BCR4,0,deciduousbirds,0.503,0.296,0.288,0.417,0.447
BCR4,0,deciduousbirds,0.487,0.247,0.288,0.423,0.46
BCR4,0,deciduousbirds,0.488,0.215,0.288,0.374,0.431
BCR4,0,deciduousbirds,0.523,0.375,0.268,0.438,0.36
BCR4,0,deciduousbirds,0.429,0.206,0.261,0.318,0.389
BCR4,0,deciduousbirds,0.421,0.333,0.22,0.357,0.291
BCR4,0,deciduousbirds,0.504,0.313,0.283,0.429,0.457
BCR4,0,deciduousbirds,0.442,0.207,0.28,0.343,0.403
BCR4,0,deciduousbirds,0.523,0.29,0.285,0.404,0.437
BCR4,0,deciduousbirds,0.563,0.449,0.268,0.468,0.379
BCR4,0,deciduousbirds,0.427,0.222,0.236,0.3,0.344
BCR4,0,deciduousbirds,0.512,0.276,0.286,0.442,0.447
BCR4,0,deciduousbirds,0.531,0.417,0.25,0.486,0.381
BCR4,0,deciduousbirds,0.4,0.209,0.276,0.321,0.36
BCR4,0,deciduousbirds,0.431,0.333,0.24,0.381,0.305
BCR4,0,deciduousbirds,0.414,0.333,0.221,0.359,0.289
BCR4,0,deciduousbirds,0.516,0.415,0.242,0.443,0.322
BCR4,0,deciduousbirds,0.594,0.207,0.343,0.389,0.483
BCR4,0,deciduousbirds,0.586,0.329,0.294,0.407,0.318
BCR4,0,deciduousbirds,0.594,0.207,0.343,0.389,0.483
BCR4,0,deciduousbirds,0.618,0.326,0.22,0.405,0.324
BCR4,0,deciduousbirds,0.595,0.293,0.306,0.419,0.354
BCR4,0,deciduousbirds,0.486,0.214,0.26,0.322,0.299
BCR4,0,deciduousbirds,0.414,0.272,0.206,0.248,0.322
BCR4,0,deciduousbirds,0.411,0.269,0.217,0.247,0.327
BCR4,0,deciduousbirds,0.412,0.269,0.217,0.247,0.327
BCR4,0,deciduousbirds,0.647,0.366,0.235,0.421,0.361
BCR4,0,deciduousbirds,0.627,0.336,0.312,0.434,0.387
BCR4,0,deciduousbirds,0.381,0.237,0.203,0.265,0.327
BCR4,0,deciduousbirds,0.382,0.237,0.203,0.265,0.327
BCR4,0,deciduousbirds,0.616,0.335,0.219,0.439,0.364
BCR4,0,deciduousbirds,0.595,0.306,0.294,0.452,0.39
BCR4,0,deciduousbirds,0.499,0.216,0.279,0.347,0.314
BCR4,0,deciduousbirds,0.478,0.214,0.26,0.325,0.298
BCR4,0,deciduousbirds,0.599,0.337,0.214,0.396,0.304
BCR4,0,deciduousbirds,0.579,0.307,0.287,0.409,0.33
BCR4,0,deciduousbirds,0.483,0.234,0.234,0.304,0.254
BCR4,0,deciduousbirds,0.643,0.219,0.336,0.404,0.498
BCR4,0,deciduousbirds,0.654,0.35,0.207,0.417,0.338
BCR4,0,deciduousbirds,0.629,0.313,0.298,0.433,0.37
BCR4,0,deciduousbirds,0.51,0.21,0.26,0.307,0.318
BCR4,0,deciduousbirds,0.424,0.283,0.208,0.247,0.325
BCR4,0,deciduousbirds,0.425,0.283,0.208,0.247,0.325
BCR4,0,deciduousbirds,0.62,0.21,0.328,0.401,0.498
BCR4,0,deciduousbirds,0.617,0.21,0.322,0.379,0.479
BCR4,0,deciduousbirds,0.684,0.391,0.225,0.434,0.377
BCR4,0,deciduousbirds,0.661,0.359,0.306,0.448,0.404
BCR4,0,deciduousbirds,0.406,0.237,0.204,0.249,0.336
BCR4,0,deciduousbirds,0.406,0.236,0.203,0.249,0.336
BCR4,0,deciduousbirds,0.641,0.331,0.22,0.424,0.382
BCR4,0,deciduousbirds,0.621,0.302,0.295,0.436,0.408
BCR4,0,deciduousbirds,0.539,0.242,0.201,0.318,0.306
